title,manufacturer,report_date,year_folder,page_url,slug,local_path
"Waymo July 16, 2019 (PDF)",Waymo,2019-07-16,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-july-16-2019-pdf/,waymo-collision-report-july-16-2019-pdf,reports/2019/waymo-collision-report-july-16-2019-pdf.pdf
"GM Cruise July 17, 2019 (PDF)",GM Cruise,2019-07-17,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-17-2019-pdf/,gm-cruise-collision-report-july-17-2019-pdf,reports/2019/gm-cruise-collision-report-july-17-2019-pdf.pdf
"GM Cruise July 20, 2019 (PDF)",GM Cruise,2019-07-20,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-20-2019-pdf/,gm-cruise-collision-report-july-20-2019-pdf,reports/2019/gm-cruise-collision-report-july-20-2019-pdf.pdf
"GM Cruise July 21, 2019 (1) (PDF)",GM Cruise,2019-07-21,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-21-2019-1-pdf/,gm-cruise-collision-report-july-21-2019-1-pdf,reports/2019/gm-cruise-collision-report-july-21-2019-1-pdf.pdf
"GM Cruise July 21, 2019 (2) (PDF)",GM Cruise,2019-07-21,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-21-2019-2-pdf/,gm-cruise-collision-report-july-21-2019-2-pdf,reports/2019/gm-cruise-collision-report-july-21-2019-2-pdf.pdf
"Zoox July 23, 2019 (PDF)",Zoox,2019-07-23,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-july-23-2019-pdf/,collision-report-zoox-july-23-2019-pdf,reports/2019/collision-report-zoox-july-23-2019-pdf.pdf
"GM Cruise August 4, 2019 (PDF)",GM Cruise,2019-08-04,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-august-4-2019-pdf/,gm-cruise-collision-report-august-4-2019-pdf,reports/2019/gm-cruise-collision-report-august-4-2019-pdf.pdf
"GM Cruise August 7, 2019 (PDF)",GM Cruise,2019-08-07,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-august-7-2019-pdf/,gm-cruise-collision-report-august-7-2019-pdf,reports/2019/gm-cruise-collision-report-august-7-2019-pdf.pdf
"Waymo August 9, 2019 (1) (PDF)",Waymo,2019-08-09,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-august-9-2019-1-pdf/,waymo-collision-report-august-9-2019-1-pdf,reports/2019/waymo-collision-report-august-9-2019-1-pdf.pdf
"Waymo August 9, 2019 (2) (PDF)",Waymo,2019-08-09,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-august-9-2019-2-pdf/,waymo-collision-report-august-9-2019-2-pdf,reports/2019/waymo-collision-report-august-9-2019-2-pdf.pdf
"GM Cruise August 10, 2019 (PDF)",GM Cruise,2019-08-10,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-august-10-2019-pdf/,gm-cruise-collision-report-august-10-2019-pdf,reports/2019/gm-cruise-collision-report-august-10-2019-pdf.pdf
"Waymo August 12, 2019 (PDF)",Waymo,2019-08-12,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-august-12-2019-pdf/,waymo-collision-report-august-12-2019-pdf,reports/2019/waymo-collision-report-august-12-2019-pdf.pdf
"Waymo August 13, 2019 (PDF)",Waymo,2019-08-13,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-august-13-2019-pdf/,waymo-collision-report-august-13-2019-pdf,reports/2019/waymo-collision-report-august-13-2019-pdf.pdf
"GM Cruise August 22, 2019 (PDF)",GM Cruise,2019-08-22,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-august-22-2019-pdf/,gm-cruise-collision-report-august-22-2019-pdf,reports/2019/gm-cruise-collision-report-august-22-2019-pdf.pdf
"GM Cruise August 26, 2019 (PDF)",GM Cruise,2019-08-26,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-august-26-2019-pdf/,gm-cruise-collision-report-august-26-2019-pdf,reports/2019/gm-cruise-collision-report-august-26-2019-pdf.pdf
"GM Cruise September 5, 2019 (PDF)",GM Cruise,2019-09-05,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-september-5-2019-pdf/,gm-cruise-collision-report-september-5-2019-pdf,reports/2019/gm-cruise-collision-report-september-5-2019-pdf.pdf
"GM Cruise September 9, 2019 (PDF)",GM Cruise,2019-09-09,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-september-9-2019-pdf/,gm-cruise-collision-report-september-9-2019-pdf,reports/2019/gm-cruise-collision-report-september-9-2019-pdf.pdf
"Waymo September 14, 2019 (PDF)",Waymo,2019-09-14,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-september-14-2019-pdf/,waymo-collision-report-september-14-2019-pdf,reports/2019/waymo-collision-report-september-14-2019-pdf.pdf
"Aimotive September 16, 2019 (PDF)",Aimotive,2019-09-16,2019,https://www.dmv.ca.gov/portal/file/aimotive-collision-report-september-16-2019-pdf/,aimotive-collision-report-september-16-2019-pdf,reports/2019/aimotive-collision-report-september-16-2019-pdf.pdf
"Apple September 19, 2019 (PDF)",Apple,2019-09-19,2019,https://www.dmv.ca.gov/portal/file/apple-collision-report-september-19-2019-pdf/,apple-collision-report-september-19-2019-pdf,reports/2019/apple-collision-report-september-19-2019-pdf.pdf
"GM Cruise September 27, 2019 (PDF)",GM Cruise,2019-09-27,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-september-27-2019-pdf/,gm-cruise-collision-report-september-27-2019-pdf,reports/2019/gm-cruise-collision-report-september-27-2019-pdf.pdf
"GM Cruise October 3, 2019 (PDF)",GM Cruise,2019-10-03,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-october-3-2019-pdf/,gm-cruise-collision-report-october-3-2019-pdf,reports/2019/gm-cruise-collision-report-october-3-2019-pdf.pdf
"Waymo October 10, 2019 (PDF)",Waymo,2019-10-10,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-10-2019-pdf/,waymo-collision-report-october-10-2019-pdf,reports/2019/waymo-collision-report-october-10-2019-pdf.pdf
"Zoox October 11, 2019 (PDF)",Zoox,2019-10-11,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-october-11-2019-pdf/,collision-report-zoox-october-11-2019-pdf,reports/2019/collision-report-zoox-october-11-2019-pdf.pdf
"Zoox October 12, 2019 (PDF)",Zoox,2019-10-12,2019,https://www.dmv.ca.gov/portal/file/collision-report-zoox-october-12-2019-pdf/,collision-report-zoox-october-12-2019-pdf,reports/2019/collision-report-zoox-october-12-2019-pdf.pdf
"Cruise October 12, 2019 (PDF)",Cruise,2019-10-12,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-october-12-2019-pdf/,gm-cruise-collision-report-october-12-2019-pdf,reports/2019/gm-cruise-collision-report-october-12-2019-pdf.pdf
"Waymo October 14, 2019 (PDF)",Waymo,2019-10-14,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-14-2019-pdf/,waymo-collision-report-october-14-2019-pdf,reports/2019/waymo-collision-report-october-14-2019-pdf.pdf
"Waymo October 16, 2019 (PDF)",Waymo,2019-10-16,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-october-16-2019-pdf/,waymo-collision-report-october-16-2019-pdf,reports/2019/waymo-collision-report-october-16-2019-pdf.pdf
"Cruise October 17, 2019 (PDF)",Cruise,2019-10-17,2019,https://www.dmv.ca.gov/portal/file/cruise-collision-report-october-17-2019-pdf/,cruise-collision-report-october-17-2019-pdf,reports/2019/cruise-collision-report-october-17-2019-pdf.pdf
