variant,feature_left,feature_right,left_value,right_value,count,injury_rate,mean_pred_prob,mean_interaction_shap,mean_abs_interaction_shap
scene_plus_mechanism,collision_type__rear_end,mech_yielding,0,1,14,0.21428571428571427,0.3615173221887455,0.0320289910253343,0.0320289910253343
scene_plus_mechanism,collision_type__rear_end,mech_yielding,1,0,132,0.3409090909090909,0.47068062474962097,0.005071167027365237,0.005071167027365237
scene_plus_mechanism,collision_type__rear_end,mech_yielding,1,1,40,0.325,0.4542110195442244,-0.033031722565403286,0.033031722565403286
scene_plus_mechanism_operator,collision_type__rear_end,mode_binary_autonomous,0,0,83,0.3253012048192771,0.41594556710221786,0.10798029033029073,0.10798029033029073
scene_plus_mechanism_operator,collision_type__rear_end,mode_binary_autonomous,0,1,85,0.2823529411764706,0.41348031510914285,-0.06340910535165924,0.06340910535165924
scene_plus_mechanism_operator,collision_type__rear_end,mode_binary_autonomous,1,0,55,0.2545454545454545,0.38948401869726806,-0.10024740795195689,0.10024740795195689
scene_plus_mechanism_operator,collision_type__rear_end,mode_binary_autonomous,1,1,117,0.37606837606837606,0.482011231038768,0.05921325321859009,0.05921325321859009
scene_plus_mechanism_operator,collision_type__rear_end,narrative_mentions_stopped,0,0,124,0.3064516129032258,0.4112545403582181,0.030082753690075147,0.030082753690075147
scene_plus_mechanism_operator,collision_type__rear_end,narrative_mentions_stopped,0,1,44,0.29545454545454547,0.4244033147577768,-0.04908222152429524,0.04908222152429524
scene_plus_mechanism_operator,collision_type__rear_end,narrative_mentions_stopped,1,0,96,0.2604166666666667,0.3777994283637048,-0.025962732977165896,0.025962732977165896
scene_plus_mechanism_operator,collision_type__rear_end,narrative_mentions_stopped,1,1,76,0.4342105263157895,0.5466867096969726,0.03561967532707594,0.03561967532707594
scene_plus_mechanism_operator,collision_type__rear_end,mech_stop_context_expanded,0,0,91,0.2967032967032967,0.3930954206596709,0.018557655997523664,0.018557655997523664
scene_plus_mechanism_operator,collision_type__rear_end,mech_stop_context_expanded,0,1,77,0.3116883116883117,0.44022890355495026,-0.008561332828589993,0.008561332828589993
scene_plus_mechanism_operator,collision_type__rear_end,mech_stop_context_expanded,1,0,52,0.21153846153846154,0.33998716260092576,-0.015050640607972473,0.015050640607972473
scene_plus_mechanism_operator,collision_type__rear_end,mech_stop_context_expanded,1,1,120,0.39166666666666666,0.5011466883719787,0.008410235276746881,0.008410235276746881
scene_plus_mechanism_operator,collision_type__rear_end,mech_signal_wait,0,0,126,0.30158730158730157,0.41095569080472716,0.01704402085206882,0.01704402085206882
scene_plus_mechanism_operator,collision_type__rear_end,mech_signal_wait,0,1,42,0.30952380952380953,0.4259259955325141,-0.03365019921969749,0.03365019921969749
scene_plus_mechanism_operator,collision_type__rear_end,mech_signal_wait,1,0,110,0.3,0.4239453913862847,-0.01823632931833028,0.01823632931833028
scene_plus_mechanism_operator,collision_type__rear_end,mech_signal_wait,1,1,62,0.4032258064516129,0.5029506775386177,0.04926130701663656,0.04926130701663656
