variant,feature,feature_value,count,injury_rate,mean_pred_prob,mean_shap,median_shap,mean_abs_shap
scene_plus_mechanism,mech_braking,1,53,0.3018867924528302,0.41103535704450544,-0.23402811080538885,-0.15830093074132118,0.2533648641123665
scene_plus_mechanism,mech_cut_in,0,332,0.32228915662650603,0.45462959034392963,0.0,0.0,0.0
scene_plus_mechanism,mech_cut_in,1,8,0.25,0.44291731686659874,0.0,0.0,0.0
scene_plus_mechanism_operator,collision_type__rear_end,0,168,0.30357142857142855,0.414698266986674,-0.23539127946113655,-0.22776852269428477,0.2578336118646932
scene_plus_mechanism_operator,collision_type__rear_end,1,172,0.3372093023255814,0.4524240410458465,0.25457296831004206,0.22920981083250905,0.2821195791186064
scene_plus_mechanism_operator,mode_binary_autonomous,0,138,0.2971014492753623,0.4053992978103901,-0.014215243744331372,0.03127456106976723,0.09725074202035212
scene_plus_mechanism_operator,mode_binary_autonomous,1,202,0.33663366336633666,0.45317396443471775,-0.014135325183428405,0.016145490494938644,0.06035864980470457
scene_plus_mechanism_operator,narrative_mentions_stopped,0,220,0.2863636363636364,0.3966559460333396,-0.24025615766709107,-0.19843041829349467,0.24025615766709107
scene_plus_mechanism_operator,narrative_mentions_stopped,1,120,0.38333333333333336,0.5018494648859343,0.3353763190209307,0.3290202033374713,0.3353763190209307
scene_plus_mechanism_operator,mech_stop_context_expanded,0,143,0.26573426573426573,0.3737833268201272,-0.1537403473699242,-0.16627749882075488,0.17210405232997458
scene_plus_mechanism_operator,mech_stop_context_expanded,1,197,0.3604060913705584,0.47733618364654123,0.09134582886048423,0.10941368383042348,0.10727021884699556
scene_plus_mechanism_operator,mech_signal_wait,0,236,0.3008474576271186,0.4170102122622328,-0.06332514194384396,-0.03643534760867382,0.07307700267977617
scene_plus_mechanism_operator,mech_signal_wait,1,104,0.36538461538461536,0.4718445559592296,0.1669498108671288,0.09883713574032826,0.18892204702851895
scene_plus_mechanism_operator,mech_yielding,0,286,0.32517482517482516,0.43607329372187464,0.02054707652128305,0.021599783005010167,0.02248353905410468
scene_plus_mechanism_operator,mech_yielding,1,54,0.2962962962962963,0.421653368688716,-0.08629835105807003,-0.07388393532398597,0.09237086215256594
scene_plus_mechanism_operator,mech_braking,0,287,0.3240418118466899,0.4401206970530393,0.030022624153326297,0.03166102878960206,0.03725852947607666
scene_plus_mechanism_operator,mech_braking,1,53,0.3018867924528302,0.3994642237627273,-0.15677063148818393,-0.22508463040501775,0.20409567779259488
scene_plus_mechanism_operator,mech_cut_in,0,332,0.32228915662650603,0.4342670935159696,0.0,0.0,0.0
scene_plus_mechanism_operator,mech_cut_in,1,8,0.25,0.4136961082931142,0.0,0.0,0.0
scene_plus_mechanism_operator,manu_Cruise,0,187,0.27807486631016043,0.3867918697020859,-0.6579369422648083,-0.5245504006807437,0.6579369422648083
scene_plus_mechanism_operator,manu_Cruise,1,153,0.37254901960784315,0.4912167599957957,0.7950256094369703,0.7871275631073271,0.7950256094369703
