replication,rear_mode_int
150,1.2952903008444199
151,0.8743908361323536
152,0.5778572353014755
153,1.3112159440859963
154,1.715197452016075
155,2.657820957371043
156,1.3659641914688372
157,1.467289523727092
158,2.4165838165073734
159,2.1308275719662295
160,0.6195304928977935
161,0.9588856447242637
162,1.104009413649377
163,1.329811968653258
164,1.4529519463789438
165,1.4327579517212545
166,1.058465978140831
167,0.44741827181184113
168,1.1588516925639645
169,0.14931469011666137
170,1.4824000794639416
171,1.0254742407854112
172,1.385894801185292
173,0.6642502581941768
174,2.7748888172464827
175,0.8050195165670961
176,1.7856213496725644
177,1.9869336309311403
178,1.4411076375105374
179,1.5534538873706425
180,1.2801867933597988
181,1.8658888542218204
182,1.5471539423522767
183,0.7438782088286168
184,0.28958696079540114
185,1.3633752418139395
186,2.1088839667499806
187,1.0664935033339562
188,1.1865453521172484
189,1.0119734811771344
190,1.523687654147428
191,1.8865616522263347
192,0.9020086137297902
193,1.1205308391594484
194,1.039042105724632
195,2.0222205400729005
196,1.6421756002747685
197,1.713695119098154
198,1.6567824734186938
199,0.6489442803868767
200,1.7126063248272851
201,0.4373999674182277
202,2.1792740810885194
203,1.9624207560323152
204,1.464531361773828
205,1.8382608659255282
206,0.5816166990451526
207,1.7492111638963457
208,2.1724592491954744
209,0.27178013407490714
210,0.9186977245418063
211,1.5369892659373872
212,0.8972920583333207
213,0.7839959558151474
214,1.2866361226961844
215,1.2952847161362155
216,1.0598780542059043
217,1.3215386511119966
218,1.8286745268901075
219,1.2239882066156782
220,0.6656834898635524
221,0.9961253249723341
222,1.1533171689947561
223,-0.08524564253926975
224,1.8859794921225397
225,1.7956123085395412
226,0.9764945560513507
227,1.1050207300392332
228,0.09360862113501789
229,1.3496841654188396
230,1.1735636584412605
231,0.7585710741831087
232,0.8005113623983265
233,1.0740048707851746
234,1.2245995191324361
235,1.3459975587968152
236,0.696260898090167
237,1.8045797073654792
238,0.5693494667890682
239,0.6917651414645783
240,2.044121762566445
241,0.7148926157901602
242,0.8978801233730431
243,1.6331784426596752
244,1.0057100621523156
245,0.7199035140657991
246,0.9032247246408509
247,1.150696300607939
248,1.01132867569822
249,1.313588516934568
250,0.9849848942353624
251,1.4795259565991747
252,1.5525176240880263
253,1.2590796870061425
254,0.6091944197235551
255,0.4206322034401097
256,0.5913727670096471
257,0.7661276048560262
258,1.5845601479155857
259,1.8088447793742644
260,1.8428812471632876
261,1.425617307723027
262,1.0817419567789754
263,1.1410996164853475
264,1.6619671789700419
265,0.14066363535490828
266,-0.3149502088216236
267,0.2562776991683821
268,0.6060525168283737
269,0.7450393564529931
270,1.6408085080658759
271,1.4294586496891275
272,1.1512322618608204
273,0.8790586857315859
274,1.1303755434556644
275,1.0270726776019794
276,0.5549265079201939
277,1.2716228162030556
278,2.240189768055319
279,2.4134947508261897
280,0.9485388213317543
281,1.0100264078524235
282,2.525588465515351
283,0.941267815374665
284,1.5025759322699421
285,0.01230596881963266
286,1.0110568011935812
287,1.4530607539312907
288,0.5386848916598388
289,1.5718117815523294
290,1.3810063888030042
291,2.0001907244050567
292,1.4838118056393967
293,1.4929246226306594
294,2.666135593758857
295,1.8508195921966248
296,1.9366046900594647
297,1.4087857231141543
298,0.6699397830361014
299,0.6551445232060145
